  DO NOT DRAG AN DROP THESE. COPY AND PASTE THESE AT THE END OF YOUR CURRENT BLIPS AND MARKERS LISTS RESPECTIVLEY.
  
---BLIPS------BLIPS------BLIPS------BLIPS------BLIPS------BLIPS------BLIPS------BLIPS---
  {1972.6060,3817.0440,33.4363,280,2,"Sell Weed"},
  {1745.50549316406,3885.99584960938,34.8056449890137,280,3,"Sell Meth"},
  {917.44775390625,3657.01586914063,30.5204906463623,280,3,"Sell Meth"},
  {2949.0947265625,2793.48974609375,38.4489097595215,161,1,"Quarry"},
  {2681.9306640625,2796.8828125,39.6811180114746,422,1,"Mineral Processing"},
  {2752.1423339844,3470.2758789062,55.7239112854,369,1,"Hardware Store"}, -- you tool
  {1830.41247558594,5048.10693359375,58.4642791748047,444,0,"Cocaine(1)"},
  {2016.47216796875,4987.2939453125,42.0982894897461,422,0,"Cocaine(2)"},
  {1951.66394042969,4651.41357421875,40.6193466186523,422,0,"Cocaine(3)"},
  {1093.2293701172,-3197.0505371094,-38.993469238282,422,0,"Cocaine(4)"},
  {961.37615966796,3626.5200195312,32.365779876708,422,0,"Cocaine(4)"},
  {374.999053955078,3581.87915039063,33.2922668457031,280,0,"Sell Coke"},
  {726.69677734375,4169.240234375,40.7091903686523,422,2,"Dry weed"},
  {1652.5546875,4867.71142578125,42.0056381225586,280,2,"Sell Weed"},
  {-1592.4775390625,5203.22412109375,4.31009244918823,371,1,"Export Minerals"},
  {-27.5262718200684,6597.38427734375,31.8606796264648,280,2,"Sell Weed"},
  {32.2294082641602,6595.552734375,32.4704360961914,280,0,"Sell Coke"},
  {-160.36637878418,6432.0419921875,31.915901184082,280,3,"Sell Meth"},
  {-1075.55529785156,4898.3544921875,214.271423339844,280,0,"Sell Coke"},
  {-1079.19702148438,4935.98779296875,229.22184753418,280,2,"Sell Weed"},
  {1919.61706542969,4274.18115234375,31.0877342224121,68,6,"Fishing"}, --east
  {973.925109863281,4240.552734375,30.4094715118408,68,6,"Fishing"}, --north
  {133.917770385742,4101.33544921875,29.8382873535156,68,6,"Fishing"}, --West
  {557.1025390625,2676.30395507813,42.1620101928711,422,6,"Process Fish"},
  {2659.1479492188,3262.3911132812,55.240516662598,210,6,"SellFish"}, --Sandybuyer
  {-56.4152412414551,6524.2001953125,31.4908466339111,210,6,"SellFish"}, --PaletoBuyer
  {1532.4548339844,3723.6252441406,34.678604125976,280,2,"Sell Weed"},
  {1832.612915039,4993.2963867188,53.3053855896,270,27,"Gather Grapes"}, --near coca
  {1999.0938720704,4820.630859375,42.907543182374,270,27,"Gather Grapes"}, --below 1
  {1993.9053955078,4815.8344726562,42.90699005127,270,27,"Gather Grapes"}, --below 2
  {1984.4794921875,4808.3032226562,42.803382873536,270,27,"Gather Grapes"}, --below 3
  {2447.6918945312,4054.9616699218,38.064712524414,422,27,"Make Wine Slurry"},
  {2891.4287109375,4391.7348632812,50.33801651001,237,27,"Ferment Slurry"},
  {1411.5153808594,3612.2834472656,34.92008972168,369,27,"Sell Wine"}, --Sell wine to sandy store
  {-155.4204711914,6327.1489257812,31.580827713012,369,27,"Sell Wine"}, -- sell wine to paleto
  {1792.2985839844,4593.1279296875,37.68291091919,369,27,"Sell Grapes"}, -- grapes to farmersmarket
  {1725.863647461,3289.6999511718,41.183368682862,351,1,"Sandy Cargo"},
  {2138.7075195312,4797.1298828125,41.131889343262,351,1,"Grapeseed Cargo"},
  {-966.06817626954,-2983.3752441406,13.945079803466,351,1,"LSIA Cargo"},
  {-2266.1005859375,3224.9855957032,32.292381286622,351,1,"Zancu Cargo"},
  {63.984115600586,3694.2685546875,39.754981994628,351,4,"Gun Builder"},
  {1557.0314941406,3520.2038574218,35.934482574462,351,4,"Gun Part Crafting"},
  {1859.4025878906,3852.3959960938,33.028652191162,280,46,"Sell LSD"}, --lsd
  {1722.5209960938,3695.9375,34.442878723144,280,46,"Sell LSD"} 




---MARKERS------MARKERS------MARKERS------MARKERS------MARKERS------MARKERS------MARKERS---
{1745.50549316406,3885.99584960938,33.8056449890137,6,6,1,0,0,255,100}, -- TracyMeth
  {917.44775390625,3657.01586914063,31,3,3,1,0,0,255,100}, --Buddy Meth
  {2949.0947265625,2793.46974609375,38.6,35,35,6,255,0,0,255,100}, --Quarry
  {2681.9306640625,2796.8828125,39.6811180114746,4,4,3,255,0,0,150,100},  -- Mineral Processing
  {2752.1423339844,3470.2758789062,55.7239112854-1.0001,4,4,3,255,0,0,150,100}, --Youtool
  {1830.41247558594,5048.10693359375,56.75,4,4,2,255,255,255,150,100}, --cocafarm
  {2016.47216796875,4987.2939453125,39.75,4,4,3,255,255,255,150,100}, --cocaplantprocessing
  {1951.66394042969,4651.41357421875,39.65,4,4,1.5,255,255,255,150,100}, --Pastemaking
  {1093.2293701172,-3197.0505371094,-39-1.0001,4,4,1.5,255,255,255,150,100}, --paste dry
  {374.999053955078,3581.87915039063,32.25,2,2,1.5,255,255,255,150,100}, --Tony
  {726.69677734375,4169.240234375,39.25,2,2,1.5,0,255,0,150,100}, --DryWeed
  {1652.5546875,4867.71142578125,40.25,2,2,1.5,0,255,0,150,100}, -- Rick
  {-1592.4775390625,5203.22412109375,3.1,2,2,1.5,255,0,0,150,100}, -- Export Dock
  {-27.5262718200684,6597.38427734375,30.80,2,2,1.5,0,255,0,150,100}, --JohnWeed
  {32.2294082641602,6595.552734375,31.75,2,2,1.5,255,255,255,150,100}, --BillCoke
  {-160.36637878418,6432.0419921875,30.80,2,2,1.5,0,0,255,150,100}, --MikeMeth
  {-1075.55529785156,4898.3544921875,213,3,3,1.5,255,255,255,150,100}, --IgorCoke
  {-1079.19702148438,4935.98779296875,228,3,3,1.5,0,255,0,150,100}, --MiltonWeed
  {1919.61706542969,4274.18115234375,29,25,25,6,127,0,255,150,100}, --fisheast
  {973.925109863281,4240.552734375,29.8,25,25,6,127,0,155,150,100}, --fishnorth
  {133.917770385742,4101.33544921875,28,25,25,6,127,0,155,150,100}, --fishwest
  {557.1025390625,2676.30395507813,40.95,5,5,1.2,127,0,155,150,100}, --FishProcess
  {2659.1479492188,3262.3911132812,55.240516662598-1.0001,5,5,1.5,127,0,155,150,100}, --SellFishSandy
  {-56.4152412414551,6524.2001953125,30.9,5,5,1.5,127,0,155,150,100}, --SellFishPaleto
  {1532.4548339844,3723.6252441406,34.678604125976-1.0001,6,6,1,0,255,0,150,100}, --Bobby Bee
  {1832.612915039,4993.2963867188,52,4,4,2,239,7,255,150,100}, --gather grapes (near coca)
  {1999.0938720704,4820.630859375,41,4,4,2,239,7,255,150,100}, --gather grapes below coca 1
  {1993.9053955078,4815.8344726562,41,4,4,2,239,7,255,150,100}, --gather grapes below coca 2
  {1984.4794921875,4808.3032226562,41,4,4,2,239,7,255,150,100}, --gather grapes below coca 3
  {2447.6918945312,4054.9616699218,37.6,4,4,2,239,7,255,150,100}, --make wine slurry
  {2891.4287109375,4391.7348632812,49.9,4,4,2,239,7,255,150,100}, --ferment the slurry
  {1411.5153808594,3612.2834472656,33.9,4,4,2,239,7,255,150,100}, --Sell wine to sandy
  {-155.4204711914,6327.1489257812,30.1,4,4,2,239,7,255,150,100}, --Sell wine paleto
  {1792.2985839844,4593.1279296875,36.9,4,4,2,239,7,255,150,100}, --sell grapes to farmers market
 -- {1850.0382080078,3685.9929199218,32.8,1,1,0.8,204,204,0,150,35}, --License shop sandy
  {1057.8674316406,-3197.1147460938,-39.128108978272-1.0001,6,6,1,0,255,0,150,100}, --BillDavesGrowop
  {1003.7915039062,-3200.275390625,-38.99312210083-1.0001,1,1,0.8,204,204,0,150,35}, --methlabadv
  {1010.9295043946,-3196.8081054688,-38.99312210083-1.0001,1,1,0.8,204,204,0,150,35}, --synthLSD
  {2555.111328125,4142.6171875,38.494895935058-1.0001,6,6,1,0,255,0,150,100}, --pick lsd flower
  {1901.0013427734,3643.1496582032,34.090320587158-1.0001,6,6,1,0,255,0,150,100}, --another flower
  {1859.4025878906,3852.3959960938,33.028652191162-1.0001,6,6,1,0,255,0,150,100}, --selllsd
  {1126.499633789,-3197.0380859375,-39.665729522706-1.0001,6,6,1,0,255,0,150,100,}, --printmoney
  {3626.810546875,3752.9931640625,28.51573562622-1.0001,1,1,0.8,204,204,0,150,35},
  {-1602.9373779296,5193.7060546875,4.3100934028626-1.0001,1,1,0.8,204,204,0,150,35},
